,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
441,Weligama,LK,78.49,5.97,80.42,96,8,4.81
442,Tessalit,ML,70.62,20.2,1.01,22,24,7.27
443,Ugento,IT,55.4,39.93,18.16,82,75,31.09
444,Ouadda,CF,78,8.08,22.4,67,44,4.47
445,Misratah,LY,64.77,32.38,15.09,92,44,16.11
446,Paracuru,BR,86,-3.41,-39.03,58,20,6.93
447,Barranca,PE,63.24,-10.75,-77.77,98,12,7.61
448,Hobyo,SO,79.35,5.35,48.53,80,12,14.76
449,Kabanjahe,ID,78.8,3.1,98.49,94,20,2.24
450,Andenes,NO,35.6,69.31,16.12,69,40,13.87
451,Kupang,ID,81.78,-10.17,123.58,98,88,7.72
452,South Shields,GB,43.3,55,-1.43,75,20,17.22
453,Kodinsk,RU,1.23,58.69,99.18,70,76,2.46
454,Puqi,CN,50.82,29.72,113.88,100,100,25.5
455,Kuah,MY,78.8,6.33,99.84,94,75,2.24
456,Sulangan,PH,82.95,11.14,123.72,100,88,13.76
457,Riyadh,SA,64.4,24.69,46.72,23,0,9.73
458,Jiaohe,CN,8.7,43.73,127.34,70,48,7.49
459,Douglas,IM,46.4,54.15,-4.48,75,75,13.87
460,Prieska,ZA,60.54,-29.66,22.75,22,0,6.26
461,Ólafsvík,IS,36.6,64.89,-23.71,100,0,15.77
462,Kavaratti,IN,84.79,10.57,72.64,97,36,8.05
463,Yatou,CN,36.24,37.15,122.38,91,36,23.38
464,Sorland,NO,35.6,67.67,12.69,93,75,10.29
465,Qeshm,IR,70.74,26.96,56.27,64,0,6.93
466,Kaeo,NZ,58.78,-35.1,173.78,85,92,21.36
467,Ryazhsk,RU,29.89,53.7,40.11,93,48,10.63
468,Kashmor,PK,57.48,28.43,69.58,81,0,4.81
469,Horasan,TR,23.23,40.05,42.17,70,8,2.35
470,Tilichiki,RU,38.67,60.47,166.1,95,92,12.19
471,Akureyri,IS,32,65.68,-18.09,82,75,3.36
472,Shakhunya,RU,29.58,57.68,46.61,91,92,6.82
473,Khor,RU,-16.78,47.89,134.95,25,0,2.8
474,Cuajinicuilapa,MX,83.89,16.47,-98.42,96,0,4.14
475,Nome,US,23,64.5,-165.41,85,75,6.93
476,Meiganga,CM,73.36,6.52,14.3,51,12,4.03
477,Bassar,TG,86,9.25,0.78,45,20,3.36
478,Aguelmous,MA,59.68,33.15,-5.83,23,0,5.82
479,Shunyi,CN,26.6,40.12,116.65,23,0,15.66
480,Wyndham,US,52.25,37.7,-77.61,40,1,5.82
481,Berlevag,NO,24.76,70.86,29.09,100,64,3.8
482,Bandarbeyla,SO,80.97,9.49,50.81,100,8,21.59
483,Miyako,JP,49.65,39.64,141.95,100,64,27.18
484,San Fernando del Valle de Catamarca,AR,77.64,-28.47,-65.79,27,0,2.46
485,Methoni,GR,57.2,36.82,21.7,93,40,10.07
486,Codrington,AU,57.3,-38.27,141.97,95,0,5.26
487,Tabou,CI,80.6,4.42,-7.35,83,40,9.17
488,Anjozorobe,MG,64.4,-18.4,47.87,88,20,2.35
489,Ivnya,RU,33.8,51.06,36.13,86,0,6.71
490,Axim,GH,80.83,4.87,-2.24,100,68,12.08
491,Lockhart,US,75.42,28.62,-81.44,53,20,5.82
492,Finnsnes,NO,25.63,69.23,17.98,79,75,3.24
493,Rongcheng,CN,50.28,30.63,117.85,100,92,18.57
494,Ouesso,CG,77.68,1.61,16.05,90,80,2.68
495,Grand-Lahou,CI,79.08,5.14,-5.02,86,12,7.16
496,Kajaani,FI,33.8,64.17,27.67,95,90,6.93
497,Gladstone,AU,70.35,-23.85,151.25,79,80,7.61
498,Iwanai,JP,35.88,42.97,140.51,100,88,14.32
499,Ormara,PK,73.32,25.21,64.64,76,0,14.99
500,Sola,VU,79.53,-13.88,167.55,100,92,9.84
501,Bambanglipuro,ID,72.24,-7.95,110.28,100,88,3.02
502,Tocopilla,CL,61.44,-22.09,-70.2,98,8,4.14
503,Rafaela,AR,80.79,-31.25,-61.49,53,0,5.48
504,Khandbari,NP,34.08,27.37,87.2,65,0,1.68
505,Lafiagi,NG,88.44,8.87,5.42,49,24,4.14
506,Aiken,US,63.34,33.56,-81.72,53,1,4.7
507,Sept-Iles,CA,33.8,50.2,-66.38,87,90,6.93
508,Sydney,AU,67.01,-33.87,151.21,72,75,14.99
509,Vaitape,PF,77.82,-16.52,-151.75,100,44,19.69
510,Tarko-Sale,RU,12.93,64.92,77.78,90,92,7.05
511,Nizwa,OM,66.3,22.93,57.53,64,32,4.36
512,Pangnirtung,CA,3.2,66.15,-65.71,65,20,4.7
513,Yeppoon,AU,69.8,-23.13,150.73,83,90,6.93
514,Kamaishi,JP,46.59,39.27,141.88,82,92,14.2
515,Amantea,IT,48.36,39.13,16.07,93,90,24.16
516,Camacupa,AO,67.11,-12.02,17.48,86,64,4.14
517,Vallenar,CL,66.57,-28.57,-70.76,77,48,2.91
518,Kokologo,BF,86,12.19,-1.89,23,0,3.13
519,Zhuhai,CN,75.2,22.28,113.57,78,0,2.24
520,Huilong,CN,57.3,31.81,121.66,100,92,33.44
521,Saint-Augustin,CA,36.28,51.23,-58.65,100,100,22.37
522,Arauca,CO,86.73,7.08,-70.76,80,12,5.37
523,Kachiry,KZ,30.16,53.07,76.1,92,80,10.85
524,Marabba,SD,80.79,12.35,32.18,49,12,1.01
525,Zalukokoazhe,RU,35.88,43.9,43.22,94,88,6.26
526,Dingle,PH,73.41,11,122.67,96,44,2.24
527,Price,US,57.2,39.6,-110.81,64,75,11.41
528,Beitbridge,ZW,71.56,-22.22,30,45,0,12.75
529,Outlook,CA,8.07,51.5,-107.05,83,0,5.03
530,Flinders,AU,60.8,-34.58,150.86,100,75,9.17
